|nb_de_lecteurs_en_attente: ,5 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,8, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,9 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,9 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,8 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,7 |nb_de_lecteurs: ,2, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,7 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,8 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,10 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,10 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,9 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,8 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,9 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,10 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,9 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,9 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,10 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,9 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,8 |nb_de_lecteurs: ,2, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,8 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,8 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,7 |nb_de_lecteurs: ,3, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,7 |nb_de_lecteurs: ,2, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,7 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,6 |nb_de_lecteurs: ,2, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,6 |nb_de_lecteurs: ,3, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,6 |nb_de_lecteurs: ,2, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,6 |nb_de_lecteurs: ,2, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,6 |nb_de_lecteurs: ,2, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,6 |nb_de_lecteurs: ,4, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,6 |nb_de_lecteurs: ,3, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,6 |nb_de_lecteurs: ,2, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,6 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,8 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,10 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,8, |nb_de_redacteurs: ,1
|nb_de_lecteurs_en_attente: ,9 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,8 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,7 |nb_de_lecteurs: ,3, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,7 |nb_de_lecteurs: ,2, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,7 |nb_de_lecteurs: ,1, |nb_de_redacteurs_en_attente: ,10, |nb_de_redacteurs: ,0
|nb_de_lecteurs_en_attente: ,9 |nb_de_lecteurs: ,0, |nb_de_redacteurs_en_attente: ,9, |nb_de_redacteurs: ,1
